,행정구,2024_population,bank_count,company_count,Foreign_businessman,Income
0,강남구,6369370,7.443037975,3024.379747,533.721519,48485
1,강동구,1952698,1.911346076,1694.184628,383.1638878,38348
2,강북구,991804,0.93220339,1118.008475,306.1440678,34365
3,강서구,2769849,1.399276236,1418.721351,306.4173703,38755
4,관악구,4041722,1.217450118,1768.312479,1127.663172,34851
5,광진구,2947243,2.286049238,1975.732708,1269.22626,36466
6,구로구,9579237,2.634194831,2623.807157,2606.013917,35504
7,금천구,5836500,3.456221198,3683.870968,2371.582181,35178
8,노원구,1426320,1.326185102,1069.667043,220.9085779,36938
9,도봉구,802408,0.968523002,1229.588378,236.4164649,35625
10,동대문구,3314674,3.305203938,3010.759494,1530.661041,36415
11,동작구,3167202,2.322738386,1706.295844,1051.03912,38134
12,마포구,2919788,3.018867925,2380.796646,607.9245283,39779
13,서대문구,2210686,2.382302893,1672.433352,956.097561,37641
14,서초구,4086832,3.193527784,1531.999148,194.5710028,49457
15,성동구,2394382,2.853745541,2477.110583,740.0118906,39815
16,성북구,2101478,1.871440195,1412.205045,636.9812856,36801
17,송파구,3363254,3.39433294,2199.85242,389.9350649,41760
18,양천구,1513319,2.929350948,2178.575531,478.7478461,38883
19,영등포구,10270415,2.036659878,2387.861507,2048.105906,36069
20,용산구,2738931,2.834933699,1313.077275,825.743027,42287
21,은평구,1430538,1.211713228,1228.845507,303.8034332,36775
22,종로구,2710946,3.847762442,2022.626516,502.2584693,38283
23,중구,4609412,13.85542169,7059.036145,1268.975904,38508
24,중랑구,1736150,1.405405405,2124.864865,524.2162162,34922
