,행정구명,한국계 중국인,중국,미국,타이완,일본,베트남,몽골,필리핀,캐나다,인도,우즈베키스탄,영국,프랑스,타이,러시아(연방),독일,오스트레일리아,네팔,파키스탄,인도네시아,나이지리아,말레이시아,방글라데시,캄 보 디 아,사우디아라비아,홍       콩,뉴질랜드,카자흐스탄,스 리 랑 카,남아프리카 공화국,미  얀  마,싱 가 포 르,이       란,브  라  질,아 일 랜 드,스  웨  덴,이 탈 리 아,터       키,네 덜 란 드,키르기스스탄,멕  시  코,스  페  인,우크라이나,스  위  스,핀  란  드,가       나,벨  기  에,폴  란  드,이  집  트,오스트리아,수       단,아르헨티나,오       만,이 스 라 엘,페       루,덴  마  크,모  로  코,이  라  크,기       타
0,종로구,849,3985,986,273,378,2001,86,81,41,39,71,99,157,38,106,72,133,761,20,49,2,34,6,10,14,39,4,27,12,2,71,29,5,55,14,9,30,20,30,3,24,37,5,23,14,3,13,20,9,15,0,0,17,40,4,15,7,0,295
1,중구,1066,2976,294,561,271,1502,274,110,105,153,394,124,116,42,755,186,39,22,47,35,3,38,6,19,24,69,20,232,29,4,27,31,8,9,6,27,44,28,21,21,12,35,26,5,11,11,7,23,20,15,1,3,1,5,30,37,16,0,424
2,용산구,638,575,2169,315,1073,265,178,606,204,609,160,327,392,211,229,405,125,30,396,91,517,644,149,84,232,58,34,99,43,111,136,55,78,43,35,57,114,137,52,73,39,87,63,18,18,113,47,12,240,14,70,24,3,28,42,72,105,83,1713
3,성동구,1204,2540,223,151,310,977,227,163,41,126,102,44,59,54,60,62,21,53,96,84,16,97,41,18,7,29,10,17,4,14,53,14,8,10,2,10,15,19,4,11,3,19,6,5,3,9,6,2,5,3,0,1,1,2,0,4,11,2,99
4,광진구,3437,4963,240,166,475,2009,1173,84,53,187,452,49,135,49,92,89,17,197,199,147,3,168,133,15,4,62,5,75,20,13,143,13,39,16,7,17,33,24,39,15,18,38,19,10,13,1,9,14,10,4,1,3,0,2,5,2,9,0,140
5,동대문구,1594,7678,271,399,724,2990,683,190,51,164,338,66,120,91,168,158,25,291,34,116,9,124,61,72,9,176,9,88,17,30,121,46,52,24,3,25,30,47,29,48,41,37,20,12,27,12,9,17,20,7,4,5,0,5,15,10,19,22,422
6,중랑구,1121,724,72,83,160,741,1536,142,23,4,52,24,15,63,30,4,8,34,10,9,1,9,52,26,0,20,0,17,7,5,17,4,12,8,5,2,7,9,4,11,6,1,0,4,0,1,1,4,2,0,0,2,0,0,2,1,8,0,40
7,성북구,682,4274,524,289,423,1708,1196,280,81,188,219,84,144,67,158,114,44,91,114,161,12,110,73,33,10,63,7,113,29,23,165,27,27,13,15,16,53,52,31,38,30,26,24,13,18,6,15,14,13,13,3,1,9,3,22,13,23,0,421
8,강북구,758,1002,97,127,163,801,730,99,15,12,129,16,39,105,48,15,1,35,42,29,0,6,10,25,29,22,5,27,4,6,30,6,13,5,3,4,1,31,2,10,4,16,19,4,0,1,2,7,2,2,1,2,0,2,1,0,6,0,78
9,도봉구,337,377,83,45,138,433,280,169,17,4,65,26,13,46,34,7,5,33,34,11,7,11,6,30,0,12,1,7,1,6,53,2,7,2,1,0,2,9,1,7,3,2,2,0,0,1,0,0,1,1,0,2,0,0,1,0,4,0,54
