행정구,2024_population,bank_count,company_count,Income,레이블
강남구,0.587976118,0.503809069,0.326363707,0.935595017,2
강동구,0.121492306,0.075766165,0.104271013,0.263914657,3
강북구,0.020003787,0,0.008071206,0,3
강서구,0.207798854,0.036142146,0.058278978,0.290882587,4
관악구,0.342132616,0.022072422,0.116647584,0.032202491,0
광진구,0.226535004,0.104760735,0.151278983,0.139212828,4
구로구,0.926998575,0.131700278,0.259483109,0.075470448,0
금천구,0.531695002,0.195308765,0.436474006,0.0538696,2
노원구,0.065896867,0.030486347,0,0.170487676,1
도봉구,0,0.002810415,0.026700865,0.083487941,3
동대문구,0.265342643,0.183623034,0.324089636,0.135833554,4
동작구,0.24976682,0.107599745,0.106293132,0.249734959,1
마포구,0.223635238,0.161466323,0.218909468,0.358733104,2
서대문구,0.148740701,0.112208853,0.100639366,0.217068646,3
서초구,0.346897082,0.174981521,0.077192121,1,0
성동구,0.168142461,0.148689135,0.234990283,0.361118473,4
성북구,0.137206278,0.072678243,0.057190999,0.161410019,3
송파구,0.270473607,0.190519845,0.188698569,0.489994699,4
양천구,0.075085601,0.154539489,0.185146126,0.299363901,3
영등포구,1,0.08546296,0.220089035,0.112907501,0
용산구,0.20453333,0.147233473,0.040640379,0.524913862,4
은평구,0.066342368,0.021628501,0.026576833,0.159687252,3
종로구,0.201577586,0.225606268,0.15910849,0.259607739,4
중구,0.40209138,1,1,0.2745163,0
중랑구,0.098620755,0.036616422,0.17617846,0.036906971,1
