,district,2024_population,,,,,,,,
0,강남구,6369370,,,,,,,,
1,강동구,1952698,,,,,,,,
2,강북구,991804,,,,,,,,
3,강서구,2769849,,,,,,,,
4,관악구,4041722,,,,,,,,
5,광진구,2947243,,,,,,,,
6,구로구,9579237,,,,,,,,
7,금천구,5836500,,,,,,,,
8,노원구,1426320,,,,,,,,
9,도봉구,802408,,,,,,,,
10,동대문구,3314674,,,,,,,,
11,동작구,3167202,,,,,,,,
12,마포구,2919788,,,,,,,,
13,서대문구,2210686,,,,,,,,
14,서초구,4086832,,,,,,,,
15,성동구,2394382,,,,,,,,
16,성북구,2101478,,,,,,,,
17,송파구,3363254,,,,,,,,
18,양천구,1513319,,,,,,,,
19,영등포구,10270415,,,,,,,,
20,용산구,2738931,,,,,,,,
21,은평구,1430538,,,,,,,,
22,종로구,2710946,,,,,,,,
23,중구,4609412,,,,,,,,
24,중랑구,1736150,,,,,,,,
