"자치구별(1)",자치구별(2),2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4
"자치구별(1)",자치구별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)",자치구별(2),소계,소계,소계,한국계 중국인,한국계 중국인,한국계 중국인,중국,중국,중국,미국,미국,미국,타이완,타이완,타이완,일본,일본,일본,베트남,베트남,베트남,몽골,몽골,몽골,필리핀,필리핀,필리핀,캐나다,캐나다,캐나다,인도,인도,인도,우즈베키스탄,우즈베키스탄,우즈베키스탄,영국,영국,영국,프랑스,프랑스,프랑스,타이,타이,타이,러시아(연방),러시아(연방),러시아(연방),독일,독일,독일,오스트레일리아,오스트레일리아,오스트레일리아,네팔,네팔,네팔,파키스탄,파키스탄,파키스탄,인도네시아,인도네시아,인도네시아,나이지리아,나이지리아,나이지리아,말레이시아,말레이시아,말레이시아,방글라데시,방글라데시,방글라데시,캄 보 디 아,캄 보 디 아,캄 보 디 아,사우디아라비아,사우디아라비아,사우디아라비아,홍       콩,홍       콩,홍       콩,뉴질랜드,뉴질랜드,뉴질랜드,카자흐스탄,카자흐스탄,카자흐스탄,스 리 랑 카,스 리 랑 카,스 리 랑 카,남아프리카 공화국,남아프리카 공화국,남아프리카 공화국,미  얀  마,미  얀  마,미  얀  마,싱 가 포 르,싱 가 포 르,싱 가 포 르,이       란,이       란,이       란,브  라  질,브  라  질,브  라  질,아 일 랜 드,아 일 랜 드,아 일 랜 드,스  웨  덴,스  웨  덴,스  웨  덴,이 탈 리 아,이 탈 리 아,이 탈 리 아,터       키,터       키,터       키,네 덜 란 드,네 덜 란 드,네 덜 란 드,키르기스스탄,키르기스스탄,키르기스스탄,멕  시  코,멕  시  코,멕  시  코,스  페  인,스  페  인,스  페  인,우크라이나,우크라이나,우크라이나,스  위  스,스  위  스,스  위  스,핀  란  드,핀  란  드,핀  란  드,가       나,가       나,가       나,벨  기  에,벨  기  에,벨  기  에,폴  란  드,폴  란  드,폴  란  드,이  집  트,이  집  트,이  집  트,오스트리아,오스트리아,오스트리아,수       단,수       단,수       단,아르헨티나,아르헨티나,아르헨티나,오       만,오       만,오       만,이 스 라 엘,이 스 라 엘,이 스 라 엘,페       루,페       루,페       루,덴  마  크,덴  마  크,덴  마  크,모  로  코,모  로  코,모  로  코,이  라  크,이  라  크,이  라  크,기       타,기       타,기       타,소계,소계,소계,한국계 중국인,한국계 중국인,한국계 중국인,중국,중국,중국,미국,미국,미국,타이완,타이완,타이완,일본,일본,일본,베트남,베트남,베트남,몽골,몽골,몽골,필리핀,필리핀,필리핀,캐나다,캐나다,캐나다,인도,인도,인도,우즈베키스탄,우즈베키스탄,우즈베키스탄,영국,영국,영국,프랑스,프랑스,프랑스,타이,타이,타이,러시아(연방),러시아(연방),러시아(연방),독일,독일,독일,오스트레일리아,오스트레일리아,오스트레일리아,네팔,네팔,네팔,파키스탄,파키스탄,파키스탄,인도네시아,인도네시아,인도네시아,나이지리아,나이지리아,나이지리아,말레이시아,말레이시아,말레이시아,방글라데시,방글라데시,방글라데시,캄 보 디 아,캄 보 디 아,캄 보 디 아,사우디아라비아,사우디아라비아,사우디아라비아,홍       콩,홍       콩,홍       콩,뉴질랜드,뉴질랜드,뉴질랜드,카자흐스탄,카자흐스탄,카자흐스탄,스 리 랑 카,스 리 랑 카,스 리 랑 카,남아프리카 공화국,남아프리카 공화국,남아프리카 공화국,미  얀  마,미  얀  마,미  얀  마,싱 가 포 르,싱 가 포 르,싱 가 포 르,이       란,이       란,이       란,브  라  질,브  라  질,브  라  질,아 일 랜 드,아 일 랜 드,아 일 랜 드,스  웨  덴,스  웨  덴,스  웨  덴,이 탈 리 아,이 탈 리 아,이 탈 리 아,터       키,터       키,터       키,네 덜 란 드,네 덜 란 드,네 덜 란 드,키르기스스탄,키르기스스탄,키르기스스탄,멕  시  코,멕  시  코,멕  시  코,스  페  인,스  페  인,스  페  인,우크라이나,우크라이나,우크라이나,스  위  스,스  위  스,스  위  스,핀  란  드,핀  란  드,핀  란  드,가       나,가       나,가       나,벨  기  에,벨  기  에,벨  기  에,폴  란  드,폴  란  드,폴  란  드,이  집  트,이  집  트,이  집  트,오스트리아,오스트리아,오스트리아,수       단,수       단,수       단,아르헨티나,아르헨티나,아르헨티나,오       만,오       만,오       만,이 스 라 엘,이 스 라 엘,이 스 라 엘,페       루,페       루,페       루,덴  마  크,덴  마  크,덴  마  크,모  로  코,모  로  코,모  로  코,이  라  크,이  라  크,이  라  크,기       타,기       타,기       타
"자치구별(1)",자치구별(2),계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
"합계",소계,241604,105871,135733,70269,37964,32305,57771,19987,37784,11371,5499,5872,7662,3309,4353,9340,2251,7089,22129,8072,14057,8106,3107,4999,3480,936,2544,1644,949,695,2680,1580,1100,3070,1943,1127,2099,1117,982,3510,1575,1935,2205,574,1631,3066,891,2175,1990,857,1133,879,500,379,1881,1200,681,1358,952,406,1719,594,1125,659,480,179,1614,793,821,785,576,209,961,521,440,649,367,282,1340,259,1081,254,165,89,1199,416,783,342,236,106,466,225,241,1716,826,890,516,187,329,516,233,283,455,189,266,261,153,108,366,161,205,689,301,388,739,331,408,467,217,250,394,131,263,356,133,223,718,303,415,479,132,347,237,126,111,192,66,126,236,174,62,285,127,158,248,65,183,511,361,150,161,62,99,106,61,45,89,36,53,50,28,22,150,66,84,228,86,142,215,100,115,446,179,267,125,68,57,6155,3074,3081,245229,107291,137938,70600,38362,32238,59514,20612,38902,10980,5381,5599,7684,3299,4385,10065,2323,7742,22836,8204,14632,8498,3263,5235,3501,964,2537,1604,947,657,2751,1611,1140,3169,2039,1130,2039,1093,946,3511,1592,1919,2375,678,1697,3218,959,2259,1799,753,1046,881,508,373,1956,1232,724,1402,981,421,1765,623,1142,659,479,180,1701,834,867,805,583,222,973,515,458,538,304,234,1350,264,1086,252,164,88,1213,431,782,354,244,110,487,225,262,1832,866,966,476,162,314,516,228,288,453,186,267,255,148,107,328,138,190,679,292,387,774,358,416,373,185,188,415,137,278,359,136,223,633,269,364,449,109,340,208,112,96,152,52,100,225,167,58,263,119,144,251,71,180,506,358,148,157,63,94,104,61,43,94,40,54,33,16,17,147,64,83,223,86,137,197,95,102,461,182,279,127,69,58,6059,3055,3004
"합계",종로구,11152,4649,6503,853,405,448,3852,1076,2776,921,485,436,257,82,175,366,153,213,2091,1026,1065,77,30,47,80,22,58,56,27,29,38,24,14,68,41,27,109,72,37,171,86,85,34,8,26,95,36,59,73,33,40,180,94,86,730,450,280,21,16,5,57,19,38,2,1,1,22,11,11,8,4,4,10,2,8,21,16,5,40,6,34,6,5,1,27,9,18,11,5,6,5,3,2,76,50,26,38,16,22,6,4,2,61,28,33,14,8,6,11,2,9,31,18,13,16,4,12,26,11,15,9,2,7,20,7,13,38,17,21,7,2,5,19,14,5,24,7,17,6,4,2,15,11,4,13,5,8,7,5,2,24,12,12,-,-,-,2,1,1,8,2,6,43,21,22,4,1,3,10,5,5,6,3,3,1,1,-,336,141,195,10952,4599,6353,836,400,436,3837,1065,2772,882,480,402,255,81,174,385,156,229,2065,1006,1059,80,30,50,82,25,57,43,27,16,41,25,16,68,42,26,92,67,25,149,76,73,37,7,30,101,42,59,59,30,29,167,88,79,762,466,296,20,15,5,46,17,29,2,1,1,25,12,13,6,3,3,9,2,7,18,13,5,36,5,31,6,5,1,25,11,14,12,5,7,3,2,1,73,49,24,35,16,19,5,4,1,64,30,34,13,8,5,8,1,7,32,18,14,20,6,14,21,12,9,7,2,5,22,8,14,33,17,16,6,1,5,17,14,3,7,4,3,4,3,1,10,6,4,14,6,8,8,6,2,24,12,12,-,-,-,1,1,-,7,2,5,44,22,22,4,1,3,8,4,4,6,3,3,-,-,-,310,139,171
"합계",중구,10427,4877,5550,1078,546,532,2807,1169,1638,308,189,119,543,245,298,268,118,150,1520,692,828,260,105,155,111,34,77,114,63,51,141,84,57,390,216,174,124,60,64,147,59,88,47,7,40,772,368,404,192,90,102,36,20,16,25,15,10,47,39,8,39,16,23,3,2,1,58,33,25,4,3,1,13,8,5,25,16,9,69,20,49,21,12,9,230,127,103,35,25,10,2,1,1,34,11,23,32,14,18,11,3,8,14,10,4,6,4,2,28,14,14,37,15,22,28,12,16,31,17,14,21,10,11,9,2,7,38,20,18,40,14,26,10,5,5,12,5,7,11,9,2,9,5,4,22,7,15,19,13,6,19,7,12,-,-,-,2,-,2,4,2,2,4,1,3,34,19,15,32,17,15,19,15,4,-,-,-,472,244,228,10613,4943,5670,1093,551,542,2981,1241,1740,308,180,128,553,245,308,274,115,159,1519,685,834,270,114,156,119,39,80,115,65,50,139,80,59,398,219,179,121,60,61,159,72,87,46,7,39,797,380,417,183,87,96,40,22,18,23,13,10,50,43,7,37,12,25,3,2,1,47,29,18,6,4,2,17,10,7,16,10,6,69,17,52,24,14,10,235,133,102,35,25,10,3,2,1,31,11,20,31,14,17,10,4,6,17,12,5,8,5,3,21,9,12,40,16,24,30,13,17,20,11,9,22,11,11,12,4,8,34,18,16,35,10,25,9,3,6,13,4,9,11,9,2,9,5,4,20,7,13,19,13,6,14,5,9,-,-,-,3,1,2,3,1,2,4,1,3,34,19,15,31,17,14,16,13,3,-,-,-,436,231,205
"합계",용산구,14726,7968,6758,671,324,347,550,199,351,2307,1305,1002,305,150,155,1024,482,542,276,92,184,169,67,102,633,164,469,204,123,81,552,337,215,175,97,78,316,195,121,414,225,189,193,90,103,207,57,150,414,216,198,123,73,50,26,18,8,393,273,120,74,29,45,530,392,138,559,410,149,157,96,61,83,37,46,248,141,107,47,24,23,37,23,14,107,43,64,45,27,18,118,67,51,135,64,71,59,22,37,84,49,35,41,22,19,41,30,11,59,34,25,114,65,49,143,87,56,54,24,30,73,30,43,43,25,18,82,39,43,77,29,48,32,18,14,17,6,11,121,81,40,54,26,28,17,5,12,229,192,37,13,6,7,83,48,35,30,15,15,1,1,-,41,20,21,57,22,35,63,36,27,110,58,52,78,42,36,1818,1096,722,14781,8033,6748,679,317,362,564,201,363,2211,1254,957,310,155,155,1053,492,561,266,87,179,191,72,119,616,163,453,199,120,79,595,366,229,175,96,79,315,199,116,420,232,188,203,94,109,207,59,148,385,196,189,128,74,54,28,19,9,402,274,128,82,36,46,531,395,136,605,448,157,160,97,63,87,38,49,250,144,106,54,25,29,36,22,14,105,43,62,49,30,19,119,69,50,139,63,76,61,23,38,81,49,32,43,22,21,38,27,11,55,33,22,111,66,45,149,97,52,50,26,24,75,31,44,41,23,18,86,42,44,69,30,39,22,12,10,14,5,9,121,82,39,50,23,27,17,5,12,235,196,39,15,7,8,82,48,34,28,14,14,2,1,1,39,19,20,58,22,36,53,32,21,119,63,56,81,44,37,1822,1111,711
"합계",성동구,7000,2938,4062,1266,619,647,2442,856,1586,237,130,107,153,73,80,233,41,192,952,358,594,231,81,150,163,80,83,41,31,10,112,68,44,86,65,21,44,24,20,51,21,30,52,13,39,54,12,42,59,33,26,17,13,4,60,44,16,75,58,17,85,46,39,13,7,6,98,41,57,34,30,4,17,5,12,-,-,-,24,9,15,10,7,3,22,8,14,5,5,-,13,4,9,48,23,25,21,9,12,7,4,3,11,4,7,2,-,2,10,3,7,24,11,13,17,5,12,21,8,13,7,1,6,4,1,3,30,14,16,6,-,6,4,2,2,2,-,2,9,8,1,6,2,4,2,1,1,3,-,3,-,-,-,-,-,-,1,-,1,-,-,-,2,1,1,-,-,-,2,2,-,11,4,7,2,2,-,99,51,48,7190,2996,4194,1242,613,629,2490,888,1602,240,125,115,154,70,84,279,38,241,982,372,610,224,81,143,165,85,80,44,33,11,119,70,49,89,65,24,41,23,18,64,30,34,51,13,38,59,13,46,72,38,34,19,15,4,48,27,21,87,68,19,118,66,52,14,8,6,94,35,59,39,35,4,17,5,12,2,1,1,28,9,19,9,5,4,22,7,15,5,5,-,13,4,9,50,23,27,15,5,10,8,4,4,10,4,6,1,-,1,14,4,10,24,11,13,19,6,13,12,6,6,11,2,9,7,3,4,30,10,20,7,-,7,6,4,2,3,-,3,9,8,1,5,2,3,3,1,2,4,-,4,1,-,1,-,-,-,1,-,1,1,-,1,3,1,2,-,-,-,8,3,5,14,6,8,2,2,-,92,44,48
"합계",광진구,14124,5774,8350,3502,1764,1738,4307,1521,2786,226,101,125,147,48,99,462,58,404,1859,570,1289,1049,437,612,91,27,64,52,30,22,184,115,69,425,334,91,56,32,24,113,42,71,46,2,44,82,12,70,64,20,44,18,10,8,155,87,68,171,114,57,125,47,78,2,2,-,148,62,86,114,90,24,14,3,11,4,2,2,55,10,45,7,2,5,61,17,44,16,15,1,11,3,8,115,39,76,10,-,10,40,23,17,13,2,11,7,3,4,21,8,13,28,7,21,23,8,15,24,11,13,10,4,6,11,3,8,38,9,29,17,5,12,8,4,4,6,2,4,2,2,-,8,2,6,10,1,9,10,4,6,6,2,4,1,1,-,3,-,3,1,-,1,1,-,1,4,1,3,2,-,2,11,2,9,-,-,-,128,54,74,14651,5973,8678,3516,1761,1755,4523,1609,2914,234,100,134,149,47,102,506,68,438,1963,596,1367,1093,456,637,95,29,66,54,33,21,179,111,68,468,373,95,50,28,22,119,46,73,43,3,40,88,13,75,60,17,43,18,11,7,172,92,80,188,125,63,140,54,86,3,2,1,144,55,89,135,104,31,14,4,10,4,1,3,58,9,49,6,2,4,59,17,42,20,19,1,12,2,10,131,44,87,12,1,11,41,23,18,11,2,9,7,2,5,14,7,7,32,7,25,22,7,15,16,7,9,11,4,7,16,5,11,18,3,15,17,4,13,8,4,4,8,2,6,1,1,-,13,3,10,9,1,8,10,4,6,4,2,2,1,1,-,3,-,3,-,-,-,1,-,1,4,1,3,-,-,-,11,3,8,-,-,-,117,48,69
"합계",동대문구,17310,6245,11065,1650,795,855,7279,2144,5135,308,120,188,369,92,277,635,46,589,2867,1355,1512,652,244,408,193,74,119,47,30,17,138,80,58,345,225,120,85,39,46,168,46,122,89,10,79,184,41,143,169,64,105,26,11,15,281,192,89,38,26,12,104,33,71,8,5,3,121,36,85,58,38,20,72,41,31,9,3,6,182,26,156,9,7,2,87,15,72,20,17,3,23,6,17,69,23,46,30,5,25,51,20,31,18,4,14,13,2,11,30,7,23,33,13,20,52,6,46,32,11,21,45,13,32,30,4,26,41,10,31,20,2,18,15,9,6,27,7,20,11,6,5,10,2,8,28,4,24,19,10,9,8,4,4,4,2,2,2,1,1,-,-,-,4,2,2,12,4,8,23,8,15,21,3,18,22,13,9,424,189,235,17552,6302,11250,1641,807,834,7525,2231,5294,265,107,158,388,87,301,738,57,681,2937,1364,1573,671,249,422,188,74,114,49,33,16,157,86,71,341,225,116,74,34,40,153,35,118,83,11,72,191,47,144,121,35,86,24,10,14,289,200,89,37,27,10,100,30,70,7,4,3,121,31,90,53,35,18,67,36,31,9,3,6,177,31,146,8,7,1,84,18,66,20,16,4,26,7,19,95,44,51,25,3,22,53,20,33,14,3,11,11,1,10,21,5,16,27,11,16,50,7,43,21,7,14,47,13,34,32,3,29,30,10,20,20,2,18,14,6,8,25,6,19,9,6,3,8,2,6,20,3,17,19,9,10,5,3,2,4,2,2,2,1,1,-,-,-,4,1,3,10,5,5,6,3,3,20,2,18,22,13,9,394,174,220
