,자치구,소계,한국계 중국인,중국,미국,타이완,일본,베트남,몽골,필리핀,캐나다,인도,우즈베키스탄,영국,프랑스,타이,러시아(연방),독일,오스트레일리아,네팔,파키스탄,인도네시아,나이지리아,말레이시아,방글라데시,캄 보 디 아,사우디아라비아,홍       콩,뉴질랜드,카자흐스탄,스 리 랑 카,남아프리카 공화국,미  얀  마,싱 가 포 르,이       란,브  라  질,아 일 랜 드,스  웨  덴,이 탈 리 아,터       키,네 덜 란 드,키르기스스탄,멕  시  코,스  페  인,우크라이나,스  위  스,핀  란  드,가       나,벨  기  에,폴  란  드,이  집  트,오스트리아,수       단,아르헨티나,오       만,이 스 라 엘,페       루,덴  마  크,모  로  코,이  라  크,기       타,소계,한국계 중국인,중국,미국,타이완,일본,베트남,몽골,필리핀,캐나다,인도,우즈베키스탄,영국,프랑스,타이,러시아(연방),독일,오스트레일리아,네팔,파키스탄,인도네시아,나이지리아,말레이시아,방글라데시,캄 보 디 아,사우디아라비아,홍       콩,뉴질랜드,카자흐스탄,스 리 랑 카,남아프리카 공화국,미  얀  마,싱 가 포 르,이       란,브  라  질,아 일 랜 드,스  웨  덴,이 탈 리 아,터       키,네 덜 란 드,키르기스스탄,멕  시  코,스  페  인,우크라이나,스  위  스,핀  란  드,가       나,벨  기  에,폴  란  드,이  집  트,오스트리아,수       단,아르헨티나,오       만,이 스 라 엘,페       루,덴  마  크,모  로  코,이  라  크,기       타
0,소계,241604,70269,57771,11371,7662,9340,22129,8106,3480,1644,2680,3070,2099,3510,2205,3066,1990,879,1881,1358,1719,659,1614,785,961,649,1340,254,1199,342,466,1716,516,516,455,261,366,689,739,467,394,356,718,479,237,192,236,285,248,511,161,106,89,50,150,228,215,446,125,6155,245229,70600,59514,10980,7684,10065,22836,8498,3501,1604,2751,3169,2039,3511,2375,3218,1799,881,1956,1402,1765,659,1701,805,973,538,1350,252,1213,354,487,1832,476,516,453,255,328,679,774,373,415,359,633,449,208,152,225,263,251,506,157,104,94,33,147,223,197,461,127,6059
1,종로구,11152,853,3852,921,257,366,2091,77,80,56,38,68,109,171,34,95,73,180,730,21,57,2,22,8,10,21,40,6,27,11,5,76,38,6,61,14,11,31,16,26,9,20,38,7,19,24,6,15,13,7,24,0,2,8,43,4,10,6,1,336,10952,836,3837,882,255,385,2065,80,82,43,41,68,92,149,37,101,59,167,762,20,46,2,25,6,9,18,36,6,25,12,3,73,35,5,64,13,8,32,20,21,7,22,33,6,17,7,4,10,14,8,24,0,1,7,44,4,8,6,0,310
2,중구,10427,1078,2807,308,543,268,1520,260,111,114,141,390,124,147,47,772,192,36,25,47,39,3,58,4,13,25,69,21,230,35,2,34,32,11,14,6,28,37,28,31,21,9,38,40,10,12,11,9,22,19,19,0,2,4,4,34,32,19,0,472,10613,1093,2981,308,553,274,1519,270,119,115,139,398,121,159,46,797,183,40,23,50,37,3,47,6,17,16,69,24,235,35,3,31,31,10,17,8,21,40,30,20,22,12,34,35,9,13,11,9,20,19,14,0,3,3,4,34,31,16,0,436
3,용산구,14726,671,550,2307,305,1024,276,169,633,204,552,175,316,414,193,207,414,123,26,393,74,530,559,157,83,248,47,37,107,45,118,135,59,84,41,41,59,114,143,54,73,43,82,77,32,17,121,54,17,229,13,83,30,1,41,57,63,110,78,1818,14781,679,564,2211,310,1053,266,191,616,199,595,175,315,420,203,207,385,128,28,402,82,531,605,160,87,250,54,36,105,49,119,139,61,81,43,38,55,111,149,50,75,41,86,69,22,14,121,50,17,235,15,82,28,2,39,58,53,119,81,1822
4,광진구,14124,3502,4307,226,147,462,1859,1049,91,52,184,425,56,113,46,82,64,18,155,171,125,2,148,114,14,4,55,7,61,16,11,115,10,40,13,7,21,28,23,24,10,11,38,17,8,6,2,8,10,10,6,1,3,1,1,4,2,11,0,128,14651,3516,4523,234,149,506,1963,1093,95,54,179,468,50,119,43,88,60,18,172,188,140,3,144,135,14,4,58,6,59,20,12,131,12,41,11,7,14,32,22,16,11,16,18,17,8,8,1,13,9,10,4,1,3,0,1,4,0,11,0,117
5,동대문구,17310,1650,7279,308,369,635,2867,652,193,47,138,345,85,168,89,184,169,26,281,38,104,8,121,58,72,9,182,9,87,20,23,69,30,51,18,13,30,33,52,32,45,30,41,20,15,27,11,10,28,19,8,4,2,0,4,12,23,21,22,424,17552,1641,7525,265,388,738,2937,671,188,49,157,341,74,153,83,191,121,24,289,37,100,7,121,53,67,9,177,8,84,20,26,95,25,53,14,11,21,27,50,21,47,32,30,20,14,25,9,8,20,19,5,4,2,0,4,10,6,20,22,394
6,성북구,11755,696,3792,439,268,427,1637,1201,264,81,198,225,89,130,69,179,105,34,79,107,133,7,114,77,40,12,71,7,99,30,19,159,34,29,17,17,18,42,55,34,31,23,35,31,14,15,5,12,12,21,14,2,0,12,4,20,12,26,1,431,11923,691,3984,436,273,448,1696,1193,272,72,194,227,77,130,70,172,79,39,82,111,130,9,106,76,42,10,74,8,100,31,22,161,34,28,11,16,14,39,58,19,35,20,23,27,13,11,5,9,19,19,14,2,1,12,5,20,10,29,1,414
7,서대문구,13529,570,4098,1032,1846,684,1511,157,137,118,191,71,205,379,186,121,186,78,34,34,141,8,86,16,45,20,194,20,84,13,20,109,56,47,40,14,29,66,33,49,28,42,93,27,33,18,12,25,28,19,13,9,6,11,5,13,18,18,2,381,13604,564,4376,846,1841,800,1536,159,137,115,184,69,181,385,187,121,154,67,37,34,142,7,92,14,45,16,201,18,81,11,21,130,51,48,40,14,26,57,25,37,31,42,73,22,25,17,11,24,24,17,11,9,8,0,5,14,17,23,3,359
8,마포구,10972,729,2934,1262,1096,1004,608,74,85,101,130,36,157,546,180,152,177,59,46,24,111,5,54,19,26,89,190,20,44,11,21,24,49,24,35,22,38,88,31,51,13,38,95,17,34,14,5,31,20,24,15,1,2,0,3,8,8,31,3,258,11174,728,3096,1226,1105,1123,656,74,92,95,138,37,155,507,183,164,174,57,38,25,116,5,58,19,34,52,185,21,46,13,20,30,49,23,37,21,37,78,31,44,11,37,75,15,29,10,3,29,23,24,16,1,3,1,3,8,14,25,2,253
9,금천구,13160,9183,2475,58,86,134,407,104,117,14,16,44,9,22,56,30,4,2,26,23,31,1,3,11,67,0,8,2,11,19,2,83,2,6,9,2,1,2,6,2,10,1,6,8,0,0,1,0,3,5,1,0,0,0,3,3,1,8,0,32,13332,9262,2528,55,87,141,411,112,124,13,17,38,11,23,61,32,5,3,26,22,29,1,4,12,70,1,10,2,12,21,0,83,2,7,10,2,1,4,5,3,11,1,6,9,0,0,1,0,2,5,1,0,0,0,3,3,1,7,0,32
