,자치구,소계,중국,미국,타이완,일본,베트남,몽골,필리핀,캐나다,인도,우즈베키스탄,영국,프랑스,타이,러시아(연방),독일,오스트레일리아,네팔,파키스탄,인도네시아,나이지리아,말레이시아,방글라데시,캄 보 디 아,사우디아라비아,홍       콩,뉴질랜드,카자흐스탄,스 리 랑 카,남아프리카 공화국,미  얀  마,싱 가 포 르,이       란,브  라  질,아 일 랜 드,스  웨  덴,이 탈 리 아,터       키,네 덜 란 드,키르기스스탄,멕  시  코,스  페  인,우크라이나,스  위  스,핀  란  드,가       나,벨  기  에,폴  란  드,이  집  트,오스트리아,수       단,아르헨티나,오       만,이 스 라 엘,페       루,덴  마  크,모  로  코,이  라  크
0,수,113294,33131,4946,4834,4322,13085,3187,1212,649,1151,1540,953,1903,889,1876,1111,462,1331,429,889,63,553,309,368,184,873,102,693,187,117,705,279,261,246,107,192,359,309,286,199,211,426,198,146,138,78,136,155,164,108,21,24,37,76,133,116,201,36.0
1,종로구,11152,3852,921,257,366,2091,77,80,56,38,68,109,171,34,95,73,180,730,21,57,2,22,8,10,21,40,6,27,11,5,76,38,6,61,14,11,31,16,26,9,20,38,7,19,24,6,15,13,7,24,0,2,8,43,4,10,6,1.0
2,중구,10427,2807,308,543,268,1520,260,111,114,141,390,124,147,47,772,192,36,25,47,39,3,58,4,13,25,69,21,230,35,2,34,32,11,14,6,28,37,28,31,21,9,38,40,10,12,11,9,22,19,19,0,2,4,4,34,32,19,0.0
3,동대문구,17310,7279,308,369,635,2867,652,193,47,138,345,85,168,89,184,169,26,281,38,104,8,121,58,72,9,182,9,87,20,23,69,30,51,18,13,30,33,52,32,45,30,41,20,15,27,11,10,28,19,8,4,2,0,4,12,23,21,22.0
4,성북구,11755,3792,439,268,427,1637,1201,264,81,198,225,89,130,69,179,105,34,79,107,133,7,114,77,40,12,71,7,99,30,19,159,34,29,17,17,18,42,55,34,31,23,35,31,14,15,5,12,12,21,14,2,0,12,4,20,12,26,1.0
5,서대문구,13529,4098,1032,1846,684,1511,157,137,118,191,71,205,379,186,121,186,78,34,34,141,8,86,16,45,20,194,20,84,13,20,109,56,47,40,14,29,66,33,49,28,42,93,27,33,18,12,25,28,19,13,9,6,11,5,13,18,18,2.0
6,마포구,10972,2934,1262,1096,1004,608,74,85,101,130,36,157,546,180,152,177,59,46,24,111,5,54,19,26,89,190,20,44,11,21,24,49,24,35,22,38,88,31,51,13,38,95,17,34,14,5,31,20,24,15,1,2,0,3,8,8,31,3.0
7,금천구,13160,2475,58,86,134,407,104,117,14,16,44,9,22,56,30,4,2,26,23,31,1,3,11,67,0,8,2,11,19,2,83,2,6,9,2,1,2,6,2,10,1,6,8,0,0,1,0,3,5,1,0,0,0,3,3,1,8,0.0
8,동작구,10176,3231,243,183,323,1322,110,60,44,68,75,47,123,67,108,79,15,31,59,57,11,23,33,28,0,34,5,23,14,5,44,7,16,5,6,12,21,15,24,11,17,31,13,8,14,9,7,7,15,4,2,1,0,2,15,3,12,5.0
9,관악구,14813,2663,375,186,481,1122,552,165,74,231,286,128,217,161,235,126,32,79,76,216,18,72,83,67,8,85,12,88,34,20,107,31,71,47,13,25,39,73,37,31,31,49,35,13,14,18,27,22,35,10,3,9,2,8,24,9,60,2.0
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,평균,중국,미국,타이완,일본,베트남,몽골,필리핀,캐나다,인도,우즈베키스탄,영국,프랑스,타이,러시아(연방),독일,오스트레일리아,네팔,파키스탄,인도네시아,나이지리아,말레이시아,방글라데시,캄 보 디 아,사우디아라비아,홍       콩,뉴질랜드,카자흐스탄,스 리 랑 카,남아프리카 공화국,미  얀  마,싱 가 포 르,이       란,브  라  질,아 일 랜 드,스  웨  덴,이 탈 리 아,터       키,네 덜 란 드,키르기스스탄,멕  시  코,스  페  인,우크라이나,스  위  스,핀  란  드,가       나,벨  기  에,폴  란  드,이  집  트,오스트리아,수       단,아르헨티나,오       만,이 스 라 엘,페       루,덴  마  크,모  로  코,이  라  크,
12,종로구,11.6,18.6,5.3,8.5,16.0,2.4,6.6,8.6,3.3,4.4,11.4,9.0,3.8,5.1,6.6,39.0,54.8,4.9,6.4,3.2,4.0,2.6,2.7,11.4,4.6,5.9,3.9,5.9,4.3,10.8,13.6,2.3,24.8,13.1,5.7,8.6,5.2,9.1,4.5,9.5,8.9,3.5,13.0,17.4,7.7,11.0,8.4,4.3,22.2,0.0,8.3,21.6,56.6,3.0,8.6,3.0,2.8,
13,중구,8.5,6.2,11.2,6.2,11.6,8.2,9.2,17.6,12.3,25.3,13.0,7.7,5.3,41.2,17.3,7.8,1.9,11.0,4.4,4.8,10.5,1.3,3.5,13.6,7.9,20.6,33.2,18.7,1.7,4.8,11.5,4.2,5.7,5.6,14.6,10.3,9.1,10.8,10.6,4.3,8.9,20.2,6.8,8.7,14.1,6.6,14.2,11.6,17.6,0.0,8.3,10.8,5.3,25.6,27.6,9.5,0.0,
