district,Res_population_2015,Res_population_2016,Res_population_2017,Res_population_2018,Res_population_2019,Res_population_2020,Res_population_2021,population_2023,population_2024,Income_population,INCOME_TWO_TMW_INHBT_RATE,INCOME_THREE_TMW_INHBT_RATE,INCOME_FOUR_TMW_INHBT_RATE,INCOME_FIVE_TMW_INHBT_RATE,INCOME_SIX_TMW_INHBT_RATE,INCOME_SEVEN_TMW_INHBT_RATE,INCOME_SEVEN_TMW_ABOVE_INHBT_RATE,FRNR_ALL_EXPNDTR_PRICE,income_all,레이블
강남구,5265.0,5025.0,4888.0,5089.0,5040.0,4824.0,4758.0,5019.0,5188.0,10763.0,0.09,0.28,0.21,0.13,0.07,0.05,0.18,1564122268.0,1038.408,2
강동구,4663.0,4303.0,4136.0,4347.0,4323.0,4028.0,3808.0,4045.0,4052.0,1941.0,0.1,0.34,0.26,0.13,0.06,0.04,0.08,17328189.0,811.208,1
강북구,3553.0,3509.0,3523.0,3751.0,3741.0,3514.0,3381.0,4172.0,4389.0,6508.0,0.14,0.41,0.25,0.1,0.04,0.02,0.03,7377850.0,878.592,1
강서구,6617.0,6619.0,6564.0,6662.0,6477.0,5716.0,5453.0,5424.0,5543.0,3017.0,0.11,0.34,0.26,0.13,0.06,0.04,0.07,212425610.0,1109.408,1
관악구,19368.0,18756.0,17632.0,18083.0,17240.0,14743.0,13750.0,14813.0,15238.0,27036.0,0.12,0.4,0.26,0.11,0.05,0.02,0.04,43468212.0,3048.4,0
광진구,14811.0,14889.0,14595.0,15504.0,15622.0,13427.0,12631.0,14124.0,14651.0,7320.0,0.13,0.38,0.24,0.11,0.05,0.03,0.06,86524869.0,2931.0,0
구로구,32512.0,32049.0,30817.0,33989.0,32707.0,28080.0,24409.0,22800.0,22941.0,9733.0,0.13,0.39,0.24,0.11,0.05,0.03,0.05,63963638.0,4589.0,3
금천구,19883.0,19268.0,18337.0,20104.0,19010.0,16102.0,14080.0,13160.0,13332.0,4979.0,0.14,0.41,0.25,0.11,0.05,0.02,0.03,46346911.0,2667.208,0
노원구,3638.0,3631.0,3672.0,4408.0,4398.0,3995.0,3990.0,4474.0,4537.0,6873.0,0.13,0.34,0.25,0.12,0.06,0.03,0.06,15911750.0,908.192,1
동대문구,13671.0,15243.0,15364.0,16286.0,16829.0,14177.0,14606.0,17310.0,17552.0,8850.0,0.13,0.37,0.26,0.11,0.05,0.03,0.04,47207405.0,3511.192,0
동작구,12133.0,12250.0,12276.0,13182.0,12949.0,10352.0,8881.0,10176.0,10221.0,3361.0,0.16,0.4,0.22,0.1,0.05,0.03,0.05,19769407.0,2045.008,0
마포구,10708.0,10995.0,10868.0,11282.0,11890.0,9968.0,9781.0,10972.0,11174.0,12272.0,0.12,0.35,0.24,0.12,0.06,0.03,0.08,352248500.0,2235.6,0
서대문구,10964.0,11677.0,12228.0,12767.0,13774.0,10779.0,10840.0,13529.0,13604.0,11093.0,0.12,0.34,0.23,0.12,0.06,0.04,0.1,204129282.0,2721.608,0
서초구,4494.0,4285.0,4299.0,4212.0,4281.0,3899.0,3888.0,4148.0,4269.0,9139.0,0.14,0.38,0.22,0.11,0.05,0.03,0.07,381000113.0,854.6,1
성동구,8062.0,7902.0,7903.0,8242.0,8090.0,6949.0,6682.0,7000.0,7190.0,7239.0,0.08,0.27,0.22,0.13,0.08,0.05,0.18,48167420.0,1438.808,2
성북구,10285.0,11262.0,11352.0,11819.0,12094.0,9903.0,9614.0,11755.0,11923.0,8905.0,0.11,0.35,0.23,0.12,0.06,0.04,0.1,32564720.0,2385.408,0
송파구,7178.0,7115.0,6677.0,6872.0,6780.0,5966.0,5627.0,5698.0,5771.0,12890.0,0.15,0.37,0.23,0.11,0.05,0.03,0.06,480709007.0,1155.0,1
양천구,4478.0,4106.0,3864.0,3960.0,4120.0,3530.0,3185.0,3126.0,3164.0,321.0,0.11,0.32,0.24,0.12,0.06,0.04,0.11,11986695.0,633.6,1
영등포구,39307.0,36166.0,33474.0,35822.0,33308.0,27887.0,24071.0,22385.0,22703.0,8335.0,0.12,0.38,0.23,0.11,0.06,0.03,0.08,379403041.0,4541.408,3
용산구,14567.0,14861.0,15283.0,16091.0,16515.0,14605.0,14332.0,14726.0,14781.0,10324.0,0.11,0.36,0.22,0.12,0.06,0.04,0.1,429979808.0,2957.008,0
은평구,4658.0,4461.0,4408.0,4469.0,4514.0,4208.0,3866.0,3895.0,3997.0,12085.0,0.12,0.36,0.26,0.12,0.06,0.03,0.05,12371411.0,800.2,1
종로구,8836.0,9185.0,9487.0,9961.0,10579.0,9612.0,9106.0,11152.0,10952.0,4019.0,0.15,0.39,0.21,0.1,0.05,0.03,0.07,447564737.0,2191.2,0
중구,8596.0,9160.0,8884.0,9908.0,10317.0,9395.0,9288.0,10427.0,10613.0,6000.0,0.15,0.4,0.2,0.1,0.05,0.03,0.06,3404569833.0,2123.392,0
중랑구,4711.0,4672.0,4554.0,4938.0,5009.0,4860.0,4535.0,4925.0,5044.0,12992.0,0.12,0.39,0.27,0.11,0.05,0.02,0.03,4170915.0,1009.592,1
